Producto,Precio,Cantidad,Fecha,Cliente,Ciudad
Azúcar,7.12,4,2025-09-12,Flor Lidia Caro Morcillo,Burgos
Carne,4.97,3,2025-12-22,Vera Tirado,Granada
Queso,9.44,6,2026-04-10,Nuria Macías-Muñoz,Madrid
Queso,14.29,1,2026-01-11,Albano Adolfo Saavedra Polo,Valladolid
Arroz,9.17,4,2026-05-09,Carolina Cifuentes Jordá,Málaga
Arroz,18.25,4,2026-01-19,Marc Rovira-Mas,Cantabria
Pan,14.79,2,2025-08-29,Flor Débora Lumbreras Gomis,Guipúzcoa
Queso,2.79,3,2025-11-26,Basilio Domingo Leiva,Ourense
Pan,13.66,7,2026-02-11,Amarilis Carbajo-Arjona,Toledo
Leche,7.44,5,2026-03-11,Estela Lucas-Garrido,Huesca
Arroz,19.95,7,2025-07-27,Alberto Lluch Mateu,Guipúzcoa
Leche,16.04,7,2025-12-25,Wálter Lozano,Ceuta
Queso,17.54,2,2026-04-20,Amando Iñiguez,Badajoz
Pan,12.37,6,2025-08-14,Salud Silva Arnal,Cáceres
Pollo,14.39,10,2025-07-21,Leonor de Cuevas,Guadalajara
Pollo,17.28,7,2025-07-21,Águeda Jordá Vara,Asturias
Leche,15.6,5,2026-05-24,Miguela Ríos Blasco,Cuenca
Arroz,15.1,1,2025-06-22,Nidia Reina Conesa,Alicante
Pollo,13.98,7,2026-05-03,Esteban Fonseca Serra,Navarra
Huevos,17.17,2,2026-03-26,Candela Baeza Peláez,Valladolid
Carne,17.68,3,2025-11-22,Marisol Samper Díaz,León
Huevos,17.56,5,2026-02-19,Ana Cadenas Naranjo,Asturias
Pan,2.93,9,2025-10-26,Gloria Rivera Angulo,Ceuta
Queso,16.68,10,2025-07-12,Carla Manso Tejero,Alicante
Leche,2.18,1,2026-01-14,Rosendo del Cordero,Baleares
Pan,9.96,8,2025-06-09,Olivia Pons Muro,Cádiz
Huevos,13.16,1,2026-05-02,Chucho Cuervo Busquets,Cáceres
Café,15.53,4,2025-08-06,Luís Company Romero,Melilla
Aceite,14.83,10,2025-06-19,Albano Ordóñez Ros,Ourense
Pollo,14.16,4,2025-11-24,Anselmo Coronado,Valencia
Aceite,6.97,8,2026-01-05,Cirino de Manjón,Málaga
Aceite,4.55,10,2025-06-29,Matías Vilaplana Ayllón,Lugo
Carne,4.21,7,2025-11-12,Luz Ocaña-Tello,La Coruña
Azúcar,13.48,8,2025-12-10,Jose Luis Izquierdo Cuadrado,Castellón
Aceite,10.83,5,2026-05-12,Azahara Egea Aragonés,Zamora
Huevos,13.48,2,2026-03-16,Gil Costa Sanz,Barcelona
Carne,1.85,8,2026-05-17,Pánfilo Velázquez Pina,Madrid
Carne,8.37,9,2025-11-23,Carlos Castañeda Contreras,Segovia
Café,16.45,10,2025-06-02,Adelia Alcántara Raya,Vizcaya
Azúcar,11.57,6,2025-12-23,Begoña del Maldonado,Granada
Aceite,7.54,8,2026-01-05,Bartolomé del Gaya,Burgos
Arroz,13.01,4,2026-04-17,Marciano Solano Echevarría,Badajoz
Café,7.54,1,2025-10-20,Íngrid Téllez-Cabo,Castellón
